"id","fqdn/ip","port","severity","finding","cve","cwe"
"engine_problem","/","443","WARN","No engine or GOST support via engine with your /opt/homebrew/bin/openssl","",""
"service","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","HTTP","",""
"pre_128cipher","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","No 128 cipher limit bug","",""
"SSLv2","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","not offered","",""
"SSLv3","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","not offered","",""
"TLS1","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","not offered","",""
"TLS1_1","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","not offered","",""
"TLS1_2","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","offered","",""
"TLS1_3","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","offered with final","",""
"NPN","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","not offered","",""
"ALPN_HTTP2","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","h2","",""
"ALPN","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","http/1.1","",""
"cipherlist_NULL","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","not offered","","CWE-327"
"cipherlist_LOW","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","offered","",""
"cipherlist_STRONG_FS","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","offered","",""
"cipher_order-tls1_2","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","server","",""
"cipher-tls1_2_xc02f","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc027","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc030","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc028","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_x9c","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9d","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x3c","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","LOW","TLSv1.2   x3c     AES128-SHA256                     RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA256","",""
"cipherorder_TLSv1_2","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES256-SHA384 AES128-GCM-SHA256 AES256-GCM-SHA384 AES128-SHA256","",""
"prioritize_chacha_TLSv1_2","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","false","",""
"cipher_order-tls1_3","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","server","",""
